ORDEN,CLASE,MARCA,MODELO,FECHA MATRICULA/RADICACION,AÑO,MES,DIA
1,MOTOCICLETA,YAMAHA,2000,02/02/2000,2000,02.febrero,02.miércoles
2,MOTOCICLETA,SUZUKI,2000,23/02/2000,2000,02.febrero,23.miércoles
3,AUTOMOVIL,RENAULT,1988,18/09/2000,2000,09.septiembre,18.lunes
4,CAMIONETA,CHEVROLET,1988,24/03/2000,2000,03.marzo,24.viernes
5,MOTOCICLETA,SUZUKI,2000,29/08/2000,2000,08.agosto,29.martes
6,AUTOMOVIL,CHEVROLET,2001,04/12/2000,2000,12.diciembre,04.lunes
7,AUTOMOVIL,MAZDA,1992,08/06/2000,2000,06.junio,08.jueves
8,AUTOMOVIL,MAZDA,1994,27/12/2000,2000,12.diciembre,27.miércoles
9,CAMIONETA,MAZDA,2000,02/08/2000,2000,08.agosto,02.miércoles
10,MOTOCICLETA,YAMAHA,2000,05/03/2000,2000,03.marzo,05.domingo
11,MOTOCICLETA,YAMAHA,2000,03/01/2000,2000,01.enero,03.lunes
12,CAMPERO,TOYOTA,1993,01/02/2000,2000,02.febrero,01.martes
13,VOLQUETA,CHEVROLET,1987,30/03/2000,2000,03.marzo,30.jueves
14,MOTOCICLETA,HONDA,2000,04/04/2000,2000,04.abril,04.martes
15,CAMIONETA,CHEVROLET,1988,07/06/2000,2000,06.junio,07.miércoles
16,AUTOMOVIL,MAZDA,1992,16/06/2000,2000,06.junio,16.viernes
17,MOTOCICLETA,HONDA,2000,04/10/2000,2000,10.octubre,04.miércoles
18,AUTOMOVIL,CHEVROLET,2000,24/02/2000,2000,02.febrero,24.jueves
19,AUTOMOVIL,MAZDA,2000,05/01/2000,2000,01.enero,05.miércoles
20,MOTOCICLETA,HONDA,2000,20/09/2000,2000,09.septiembre,20.miércoles
21,MOTOCICLETA,SUZUKI,1999,13/01/2000,2000,01.enero,13.jueves
22,MOTOCICLETA,SUZUKI,2000,07/03/2000,2000,03.marzo,07.martes
23,AUTOMOVIL,FORD,2000,25/05/2000,2000,05.mayo,25.jueves
24,MOTOCICLETA,YAMAHA,2000,17/02/2000,2000,02.febrero,17.jueves
25,MOTOCICLETA,HONDA,2000,13/01/2000,2000,01.enero,13.jueves
26,AUTOMOVIL,MAZDA,2000,10/02/2000,2000,02.febrero,10.jueves
27,AUTOMOVIL,CHEVROLET,2000,12/10/2000,2000,10.octubre,12.jueves
28,AUTOMOVIL,FORD,2000,23/10/2000,2000,10.octubre,23.lunes
29,MOTOCICLETA,YAMAHA,2000,09/05/2000,2000,05.mayo,09.martes
30,AUTOMOVIL,CHEVROLET,1995,27/07/2000,2000,07.julio,27.jueves
31,MOTOCICLETA,SUZUKI,2000,18/05/2000,2000,05.mayo,18.jueves
32,AUTOMOVIL,RENAULT,2000,17/04/2000,2000,04.abril,17.lunes
33,MOTOCICLETA,SUZUKI,2001,04/10/2000,2000,10.octubre,04.miércoles
34,MOTOCICLETA,SUZUKI,2000,01/11/2000,2000,11.noviembre,01.miércoles
35,MOTOCICLETA,SUZUKI,2000,18/08/2000,2000,08.agosto,18.viernes
36,AUTOMOVIL,MAZDA,1996,07/09/2000,2000,09.septiembre,07.jueves
37,MOTOCICLETA,SUZUKI,2000,27/01/2000,2000,01.enero,27.jueves
38,MOTOCICLETA,SUZUKI,2001,06/10/2000,2000,10.octubre,06.viernes
39,MOTOCICLETA,YAMAHA,2000,03/04/2000,2000,04.abril,03.lunes
40,MOTOCICLETA,SUZUKI,2000,03/08/2000,2000,08.agosto,03.jueves
41,CAMPERO,TOYOTA,1995,30/10/2000,2000,10.octubre,30.lunes
42,MOTOCICLETA,HONDA,2001,11/08/2000,2000,08.agosto,11.viernes
43,BUSETA,CHEVROLET,2000,23/02/2000,2000,02.febrero,23.miércoles
44,MOTOCICLETA,SUZUKI,2000,24/03/2000,2000,03.marzo,24.viernes
45,MOTOCICLETA,SUZUKI,2000,24/05/2000,2000,05.mayo,24.miércoles
46,AUTOMOVIL,CHEVROLET,2000,14/02/2000,2000,02.febrero,14.lunes
47,MOTOCICLETA,YAMAHA,2000,24/10/2000,2000,10.octubre,24.martes
48,AUTOMOVIL,CHEVROLET,1989,17/05/2000,2000,05.mayo,17.miércoles
49,MOTOCICLETA,HONDA,2001,28/12/2000,2000,12.diciembre,28.jueves
50,MOTOCICLETA,SUZUKI,2000,21/07/2000,2000,07.julio,21.viernes
51,MOTOCICLETA,YAMAHA,2000,21/09/2000,2000,09.septiembre,21.jueves
52,AUTOMOVIL,CHEVROLET,2000,18/04/2000,2000,04.abril,18.martes
53,MOTOCICLETA,YAMAHA,2000,08/02/2000,2000,02.febrero,08.martes
54,MOTOCICLETA,HONDA,2001,10/08/2000,2000,08.agosto,10.jueves
55,MOTOCICLETA,SUZUKI,2000,14/03/2000,2000,03.marzo,14.martes
56,CAMPERO,CHEVROLET,1993,13/06/2000,2000,06.junio,13.martes
57,MOTOCICLETA,YAMAHA,2000,31/08/2000,2000,08.agosto,31.jueves
58,CAMIONETA,TOYOTA,1996,30/10/2000,2000,10.octubre,30.lunes
59,MOTOCICLETA,HONDA,2001,06/10/2000,2000,10.octubre,06.viernes
60,MOTOCICLETA,HONDA,1996,04/10/2000,2000,10.octubre,04.miércoles
61,MOTOCICLETA,SUZUKI,2001,24/10/2000,2000,10.octubre,24.martes
62,AUTOMOVIL,CHEVROLET,1992,05/01/2000,2000,01.enero,05.miércoles
63,MOTOCICLETA,SUZUKI,1999,06/01/2000,2000,01.enero,06.jueves
64,MOTOCICLETA,SUZUKI,2000,26/05/2000,2000,05.mayo,26.viernes
65,MOTOCICLETA,YAMAHA,2000,10/04/2000,2000,04.abril,10.lunes
66,AUTOMOVIL,CHEVROLET,2000,09/02/2000,2000,02.febrero,09.miércoles
67,AUTOMOVIL,CHEVROLET,2000,05/01/2000,2000,01.enero,05.miércoles
68,AUTOMOVIL,RENAULT,2001,23/10/2000,2000,10.octubre,23.lunes
69,CAMION,MAZDA,2000,13/06/2000,2000,06.junio,13.martes
70,AUTOMOVIL,MAZDA,1990,31/10/2000,2000,10.octubre,31.martes
71,MOTOCICLETA,HONDA,2000,25/07/2000,2000,07.julio,25.martes
72,MOTOCICLETA,YAMAHA,1999,23/02/2000,2000,02.febrero,23.miércoles
73,AUTOMOVIL,MAZDA,1990,29/02/2000,2000,02.febrero,29.martes
74,AUTOMOVIL,CHEVROLET,1988,30/10/2000,2000,10.octubre,30.lunes
75,AUTOMOVIL,CHEVROLET,1993,04/01/2000,2000,01.enero,04.martes
76,MOTOCICLETA,YAMAHA,2000,03/03/2000,2000,03.marzo,03.viernes
77,MOTOCICLETA,HONDA,2000,27/03/2000,2000,03.marzo,27.lunes
78,AUTOMOVIL,CHEVROLET,1992,02/08/2000,2000,08.agosto,02.miércoles
79,AUTOMOVIL,CHEVROLET,1998,15/12/2000,2000,12.diciembre,15.viernes
80,MOTOCICLETA,SUZUKI,2000,11/12/2000,2000,12.diciembre,11.lunes
81,MOTOCICLETA,HONDA,2000,11/05/2000,2000,05.mayo,11.jueves
82,MOTOCICLETA,YAMAHA,2000,21/01/2000,2000,01.enero,21.viernes
83,MOTOCICLETA,YAMAHA,2000,29/08/2000,2000,08.agosto,29.martes
84,AUTOMOVIL,CHEVROLET,2000,14/04/2000,2000,04.abril,14.viernes
85,MOTOCICLETA,SUZUKI,2001,01/12/2000,2000,12.diciembre,01.viernes
86,MOTOCICLETA,HONDA,2000,06/01/2000,2000,01.enero,06.jueves
87,MOTOCICLETA,SUZUKI,2000,12/06/2000,2000,06.junio,12.lunes
88,AUTOMOVIL,RENAULT,2000,29/02/2000,2000,02.febrero,29.martes
89,AUTOMOVIL,MAZDA,1994,14/03/2000,2000,03.marzo,14.martes
90,CAMPERO,SUZUKI,1977,01/09/2000,2000,09.septiembre,01.viernes
91,MOTOCICLETA,YAMAHA,2001,24/10/2000,2000,10.octubre,24.martes
92,MOTOCICLETA,SUZUKI,2000,29/11/2000,2000,11.noviembre,29.miércoles
93,MOTOCICLETA,SUZUKI,2000,21/03/2000,2000,03.marzo,21.martes
94,MOTOCICLETA,HONDA,2001,23/11/2000,2000,11.noviembre,23.jueves
95,MOTOCICLETA,HONDA,2001,24/10/2000,2000,10.octubre,24.martes
96,MOTOCICLETA,YAMAHA,1996,18/09/2000,2000,09.septiembre,18.lunes
97,MOTOCICLETA,SUZUKI,1999,29/03/2000,2000,03.marzo,29.miércoles
98,MOTOCICLETA,SUZUKI,2000,03/03/2000,2000,03.marzo,03.viernes
99,MOTOCICLETA,SUZUKI,2000,07/01/2000,2000,01.enero,07.viernes
100,MOTOCICLETA,YAMAHA,2000,29/03/2000,2000,03.marzo,29.miércoles
101,CAMPERO,CHEVROLET,1996,08/02/2000,2000,02.febrero,08.martes
102,AUTOMOVIL,CHEVROLET,1993,05/01/2000,2000,01.enero,05.miércoles
103,AUTOMOVIL,RENAULT,2000,14/02/2000,2000,02.febrero,14.lunes
104,AUTOMOVIL,CHEVROLET,1996,07/09/2000,2000,09.septiembre,07.jueves
105,AUTOMOVIL,CHEVROLET,1995,15/12/2000,2000,12.diciembre,15.viernes
106,MOTOCICLETA,SUZUKI,2000,25/02/2000,2000,02.febrero,25.viernes
107,MOTOCICLETA,YAMAHA,1999,14/03/2000,2000,03.marzo,14.martes
108,AUTOMOVIL,CHEVROLET,1994,05/09/2000,2000,09.septiembre,05.martes
109,MOTOCICLETA,SUZUKI,2000,20/09/2000,2000,09.septiembre,20.miércoles
110,AUTOMOVIL,CHEVROLET,1993,07/04/2000,2000,04.abril,07.viernes
111,MOTOCICLETA,HONDA,2001,14/08/2000,2000,08.agosto,14.lunes
112,AUTOMOVIL,RENAULT,1989,10/02/2000,2000,02.febrero,10.jueves
113,AUTOMOVIL,CHEVROLET,2000,08/02/2000,2000,02.febrero,08.martes
114,AUTOMOVIL,RENAULT,2000,15/03/2000,2000,03.marzo,15.miércoles
115,AUTOMOVIL,RENAULT,2000,16/03/2000,2000,03.marzo,16.jueves
116,MOTOCICLETA,SUZUKI,2000,17/08/2000,2000,08.agosto,17.jueves
117,AUTOMOVIL,CHEVROLET,1990,27/01/2000,2000,01.enero,27.jueves
118,MOTOCICLETA,SUZUKI,1999,27/01/2000,2000,01.enero,27.jueves
119,MOTOCICLETA,SUZUKI,2000,25/07/2000,2000,07.julio,25.martes
120,AUTOMOVIL,MAZDA,2000,11/01/2000,2000,01.enero,11.martes
121,MOTOCICLETA,HONDA,2000,24/07/2000,2000,07.julio,24.lunes
122,CAMIONETA,MAZDA,2000,17/04/2000,2000,04.abril,17.lunes
123,AUTOMOVIL,CHEVROLET,1995,18/05/2000,2000,05.mayo,18.jueves
124,MOTOCICLETA,SUZUKI,2000,10/02/2000,2000,02.febrero,10.jueves
125,AUTOMOVIL,RENAULT,2000,15/02/2000,2000,02.febrero,15.martes
126,AUTOMOVIL,CHEVROLET,2001,07/11/2000,2000,11.noviembre,07.martes
127,MOTOCICLETA,YAMAHA,2000,27/01/2000,2000,01.enero,27.jueves
128,AUTOMOVIL,MAZDA,1996,17/05/2000,2000,05.mayo,17.miércoles
129,AUTOMOVIL,CHEVROLET,2001,23/10/2000,2000,10.octubre,23.lunes
130,AUTOMOVIL,MAZDA,1988,31/10/2000,2000,10.octubre,31.martes
131,CAMIONETA,CHEVROLET,1998,18/05/2000,2000,05.mayo,18.jueves
132,CAMIONETA,TOYOTA,1995,29/08/2000,2000,08.agosto,29.martes
133,MOTOCICLETA,SUZUKI,2001,20/11/2000,2000,11.noviembre,20.lunes
134,AUTOMOVIL,RENAULT,2001,10/10/2000,2000,10.octubre,10.martes
135,AUTOMOVIL,RENAULT,2000,10/02/2000,2000,02.febrero,10.jueves
136,AUTOMOVIL,MAZDA,1990,25/09/2000,2000,09.septiembre,25.lunes
137,AUTOMOVIL,MAZDA,1994,07/06/2000,2000,06.junio,07.miércoles
138,CAMPERO,CHEVROLET,2000,29/02/2000,2000,02.febrero,29.martes
139,AUTOMOVIL,RENAULT,2001,08/11/2000,2000,11.noviembre,08.miércoles
140,AUTOMOVIL,RENAULT,2000,19/07/2000,2000,07.julio,19.miércoles
141,MOTOCICLETA,HONDA,2001,15/11/2000,2000,11.noviembre,15.miércoles
142,MOTOCICLETA,HONDA,2001,04/10/2000,2000,10.octubre,04.miércoles
143,AUTOMOVIL,CHEVROLET,2000,17/07/2000,2000,07.julio,17.lunes
144,AUTOMOVIL,RENAULT,1993,10/04/2000,2000,04.abril,10.lunes
145,AUTOMOVIL,CHEVROLET,2000,14/03/2000,2000,03.marzo,14.martes
146,MICROBUS,HYUNDAI,1999,18/04/2000,2000,04.abril,18.martes
147,CAMPERO,CHEVROLET,1994,19/09/2000,2000,09.septiembre,19.martes
148,AUTOMOVIL,MAZDA,1988,03/11/2000,2000,11.noviembre,03.viernes
149,MOTOCICLETA,YAMAHA,2000,18/05/2000,2000,05.mayo,18.jueves
150,CAMPERO,FORD,1998,31/10/2000,2000,10.octubre,31.martes
151,AUTOMOVIL,MAZDA,1986,08/02/2000,2000,02.febrero,08.martes
152,MOTOCICLETA,YAMAHA,1997,18/09/2000,2000,09.septiembre,18.lunes
153,AUTOMOVIL,CHEVROLET,2000,10/05/2000,2000,05.mayo,10.miércoles
154,AUTOMOVIL,HYUNDAI,2000,10/05/2000,2000,05.mayo,10.miércoles
155,AUTOMOVIL,CHEVROLET,2000,19/01/2000,2000,01.enero,19.miércoles
156,CAMPERO,TOYOTA,1997,23/11/2000,2000,11.noviembre,23.jueves
157,MOTOCICLETA,SUZUKI,2000,27/03/2000,2000,03.marzo,27.lunes
158,MOTOCICLETA,YAMAHA,2000,23/03/2000,2000,03.marzo,23.jueves
159,MOTOCICLETA,YAMAHA,2000,14/03/2000,2000,03.marzo,14.martes
160,MOTOCICLETA,HONDA,1997,11/05/2000,2000,05.mayo,11.jueves
161,MOTOCICLETA,SUZUKI,2000,08/09/2000,2000,09.septiembre,08.viernes
162,CAMIONETA,CHEVROLET,2000,20/01/2000,2000,01.enero,20.jueves
163,AUTOMOVIL,MAZDA,1994,17/11/2000,2000,11.noviembre,17.viernes
164,MOTOCICLETA,YAMAHA,1999,01/08/2000,2000,08.agosto,01.martes
165,AUTOMOVIL,CHEVROLET,1990,03/08/2000,2000,08.agosto,03.jueves
166,CAMION,MAZDA,2000,05/01/2000,2000,01.enero,05.miércoles
167,AUTOMOVIL,RENAULT,2000,27/01/2000,2000,01.enero,27.jueves
168,BUSETA,CHEVROLET,2000,30/05/2000,2000,05.mayo,30.martes
169,MOTOCICLETA,HONDA,2000,10/08/2000,2000,08.agosto,10.jueves
170,MOTOCICLETA,HONDA,2001,25/09/2000,2000,09.septiembre,25.lunes
171,MOTOCICLETA,HONDA,2000,11/02/2000,2000,02.febrero,11.viernes
172,AUTOMOVIL,CHEVROLET,2000,17/02/2000,2000,02.febrero,17.jueves
173,MOTOCICLETA,SUZUKI,2000,02/03/2000,2000,03.marzo,02.jueves
