Subregión,Municipio,Nombre Programa,Número de Soluciones,Estado del Proyecto,N° Convenio,Fecha
Occidente,Sopetrán,Mejoramiento de Vivienda,100,SGR - Ejecución,CI-751-2021,2021-11-10T00:00:00.000
Occidente,Sopetrán,Mejoramiento de Vivienda,33,En ejecución,CI-703-2021,2021-12-01T00:00:00.000
Occidente,Sopetrán,Vivienda Nueva Rural,40,SGR - Viabilización y aprobación,CI-432-2021,2021-09-17T00:00:00.000
Occidente,Sopetrán,Vivienda Nueva,30,SGR - Formulación y estructuración,CI-504-2021,2021-11-10T00:00:00.000
Occidente,Uramita,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Occidente,Uramita,Mejoramiento de Vivienda,100,SGR - Ejecución,CI-752-2021,2021-11-10T00:00:00.000
Occidente,Uramita,Mejoramiento de Vivienda,60,En ejecución,CI-664-2021,2021-12-01T00:00:00.000
Occidente,Uramita,Titulación y/o Legalización,2,Ejecutado,N/A,N/A
Occidente,Uramita,Vivienda Nueva Rural,29,SGR - Viabilización y aprobación,CI-432-2021,2021-09-17T00:00:00.000
Occidente,Uramita,Vivienda Nueva Urbana,160,En ejecución,CI-535-2021,2021-12-01T00:00:00.000
Oriente,Abejorral,Antioquia se Pinta de Vida,1,Ejecutado,CI-420-2021,2021-08-04T00:00:00.000
Oriente,Abejorral,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Abejorral,Mejoramiento de Vivienda Rural,50,SGR - Ejecución,CI-753-2021,2021-11-11T00:00:00.000
Oriente,Abejorral,Mejoramiento de Vivienda Urbana,48,En ejecución,CI-669-2021,2021-12-01T00:00:00.000
Oriente,Abejorral,Titulación y/o Legalización,0,En ejecución,MVCT-760-2021,2020-10-02T00:00:00.000
Oriente,Alejandría,Antioquia se Pinta de Vida,1,Ejecutado,CI-309-2021,2021-05-21T00:00:00.000
Oriente,Alejandría,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Alejandría,Titulación y/o Legalización,0,En ejecución,MVCT - 800-2021,2020-10-02T00:00:00.000
Oriente,Alejandría,Vivienda Nueva Urbana,60,En ejecución,CI-565-2021,2021-12-07T00:00:00.000
Oriente,Argelia,Titulación y/o Legalización,0,En ejecución,MVCT-963-2020,2020-09-28T00:00:00.000
Oriente,Cocorná,Antioquia se Pinta de Vida,1,Ejecutado,CI-580-2021,2021-12-09T00:00:00.000
Oriente,Cocorná,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Cocorná,Mejoramiento de Vivienda,50,SGR - Ejecución,CI-759-2021,2021-11-26T00:00:00.000
Oriente,Concepción,Antioquia se Pinta de Vida,1,Ejecutado,CI-213-2020,2020-10-09T00:00:00.000
Oriente,Concepción,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Concepción,Espacio Público Efectivo,"5,200",En ejecución,RESOLUCIÓN S2021060084190,13/07/2021
Oriente,Concepción,Mejoramiento de Vivienda Rural,18,Ejecutado,CI-385-2020,2020-12-30T00:00:00.000
Oriente,Concepción,Mejoramiento de Vivienda Rural,52,En ejecución,CI-677-2021,2021-12-07T00:00:00.000
Oriente,Concepción,Mejoramiento de Vivienda Rural,30,SGR - Ejecución,CI-759-2021,2021-11-26T00:00:00.000
Oriente,Concepción,Titulación y/o Legalización,0,En ejecución,MVCT-972-2020,2020-09-30T00:00:00.000
Oriente,El Carmen de Viboral,Antioquia se Pinta de Vida,1,Ejecutado,CI-163-2021,2021-04-23T00:00:00.000
Oriente,El Carmen de Viboral,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,El Carmen de Viboral,Mejoramiento de Vivienda Rural,100,En ejecución,CI-622-2021,2021-12-07T00:00:00.000
Oriente,El Carmen de Viboral,Mejoramiento de Vivienda Rural,1,En ejecución,CA-348-2020,2020-12-31T00:00:00.000
Oriente,El Carmen de Viboral,Mejoramiento de Vivienda Urbana,50,SGR - Ejecución,CI-757-2021,2021-12-01T00:00:00.000
Oriente,El Carmen de Viboral,Titulación y/o Legalización,1,Ejecutado,N/A,N/A
Oriente,El Carmen de Viboral,Vivienda Nueva Urbana,90,En ejecución,CI-388-2020,2021-01-21T00:00:00.000
Oriente,El Carmen de Viboral,Vivienda Nueva Urbana,112,En ejecución,CI-152-2021,2021-04-30T00:00:00.000
Oriente,Peñol,Antioquia se Pinta de Vida,1,Ejecutado,CI-261-2020,2020-10-23T00:00:00.000
Oriente,Peñol,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Peñol,Espacio Público Efectivo,"2,537",En ejecución,CI-721-2021,2021-12-07T00:00:00.000
Oriente,Peñol,Mejoramiento de Vivienda,50,SGR - Ejecución,CI-759-2021,2021-11-26T00:00:00.000
Oriente,Peñol,Mejoramiento de Vivienda Rural,33,En ejecución,CI-660-2021,2021-12-01T00:00:00.000
Oriente,Peñol,Mejoramiento de Vivienda Rural,52,En ejecución,CI-632-2021,2021-12-01T00:00:00.000
Oriente,Peñol,Titulación y/o Legalización,1,Ejecutado,N/A,N/A
Oriente,Peñol,Vivienda Nueva Rural,8,En ejecución,CA-606-2021,2021-12-01T00:00:00.000
Oriente,Peñol,Vivienda Nueva Rural,10,En ejecución,CA-152-2020,2020-09-21T00:00:00.000
Oriente,Peñol,Vivienda Nueva Urbana,234,En ejecución,CA-627-2021,2021-12-01T00:00:00.000
Oriente,Peñol,Vivienda Nueva Urbana,128,En ejecución,CI-555-2021,2021-12-01T00:00:00.000
Oriente,El Retiro,Antioquia se Pinta de Vida,1,En ejecución,CI-106-2022,2022-07-18T00:00:00.000
Oriente,El Retiro,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,El Retiro,Mejoramiento de Vivienda,81,En ejecución,CI-716-2021,2021-12-07T00:00:00.000
Oriente,El Retiro,Mejoramiento de Vivienda,62,SGR - Ejecución,CI-757-2021,2021-12-01T00:00:00.000
Oriente,El Retiro,Mejoramiento de Vivienda Urbana,1,En ejecución,CA-349-2020,2020-12-31T00:00:00.000
Oriente,El Retiro,Titulación y/o Legalización,2,Ejecutado,N/A,N/A
Oriente,El Retiro,Vivienda Nueva Urbana,30,En ejecución,CI-536-2021,2021-12-01T00:00:00.000
Oriente,El Retiro,Vivienda Nueva Urbana,72,En ejecución,CI-546-2021,2021-12-01T00:00:00.000
Oriente,El Santuario,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,El Santuario,Espacio Público Efectivo,610,En ejecución,CI-631-2021,2021-12-01T00:00:00.000
Oriente,El Santuario,Mejoramiento de Vivienda Rural,55,En ejecución,CI-608-2021,2021-12-01T00:00:00.000
Oriente,El Santuario,Mejoramiento de Vivienda Urbana,22,En ejecución,CI-327-2021,2021-06-30T00:00:00.000
Oriente,El Santuario,Titulación y/o Legalización,11,Ejecutado,N/A,N/A
Oriente,El Santuario,Vivienda Nueva Rural,10,En ejecución,CA-151-2020,2020-09-23T00:00:00.000
Oriente,El Santuario,Vivienda Nueva Rural,15,En ejecución,CA-607-2021,2021-12-01T00:00:00.000
Oriente,El Santuario,Vivienda Nueva Urbana,120,En ejecución,CI-556-2021,2021-12-01T00:00:00.000
Oriente,El Santuario,Vivienda Nueva Urbana,32,En ejecución,CI-487-2021,2021-09-08T00:00:00.000
Oriente,Granada,Antioquia se Pinta de Vida,1,Ejecutado,CI-218-2021,2021-04-15T00:00:00.000
Oriente,Granada,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Granada,Mejoramiento de Vivienda Rural,15,En ejecución,CI-638-2021,2021-12-01T00:00:00.000
Oriente,Granada,Mejoramiento de Vivienda Rural,50,SGR - Ejecución,CI-759-2021,2021-11-26T00:00:00.000
Oriente,Granada,Mejoramiento de Vivienda Urbana,34,En ejecución,CI-668-2021,2021-12-01T00:00:00.000
Oriente,Granada,Titulación y/o Legalización,14,Ejecutado,MVCT-860-2020,2020-09-30T00:00:00.000
Oriente,Granada,Vivienda Nueva Rural,2,En ejecución,CA-613-2021,2021-12-01T00:00:00.000
Oriente,Granada,Vivienda Nueva Rural,2,Ejecutado,CA-153-2020,2020-10-09T00:00:00.000
Oriente,Granada,Vivienda Nueva Rural,20,N/A,N/A,N/A
Oriente,Guarne,Antioquia se Pinta de Vida,1,Ejecutado,CI-259-2020,2020-10-23T00:00:00.000
Oriente,Guarne,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Guarne,Mejoramiento de Vivienda,50,SGR - Ejecución,CI-757-2021,2021-12-01T00:00:00.000
Oriente,Guarne,Mejoramiento de Vivienda Rural,53,En ejecución,CI-682-2021,2021-12-01T00:00:00.000
Oriente,Guarne,Mejoramiento de Vivienda Rural,30,En ejecución,CI-603-2021,2021-12-07T00:00:00.000
Oriente,Guarne,Mejoramiento de Vivienda Rural,27,En ejecución,CA-348-2020,2020-12-31T00:00:00.000
Oriente,Guarne,Titulación y/o Legalización,1,Ejecutado,N/A,N/A
Oriente,Guarne,Vivienda Nueva Urbana,70,En ejecución,CA-626-2021,2021-12-01T00:00:00.000
Oriente,Guarne,Vivienda Nueva Urbana,95,En ejecución,CI-537-2021,2021-12-01T00:00:00.000
Oriente,Guarne,Vivienda Nueva Urbana,120,En ejecución,CA-82-2022,2022-01-28T00:00:00.000
Oriente,Guatapé,Antioquia se Pinta de Vida,1,Ejecutado,CI-168-2021,2021-04-22T00:00:00.000
Oriente,Guatapé,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Guatapé,Espacio Público Efectivo,"1,529",En ejecución,CI-635-2021,2021-12-01T00:00:00.000
Oriente,Guatapé,Mejoramiento de Vivienda Rural,9,En ejecución,CI-571-2021,2021-12-01T00:00:00.000
Oriente,Guatapé,Mejoramiento de Vivienda Urbana,9,En ejecución,CI-604-2021,2021-12-07T00:00:00.000
Oriente,Guatapé,Titulación y/o Legalización,1,Ejecutado,MVCT-1035-2020,2020-09-30T00:00:00.000
Oriente,Guatapé,Vivienda Nueva Urbana,70,En ejecución,CI-558-2021,2021-12-09T00:00:00.000
Oriente,La Ceja,Antioquia se Pinta de Vida,1,Ejecutado,CI-258-2020,2020-10-15T00:00:00.000
Oriente,La Ceja,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,La Ceja,Mejoramiento de Vivienda,50,SGR - Ejecución,CI-757-2021,2021-12-01T00:00:00.000
Oriente,La Ceja,Mejoramiento de Vivienda,45,En ejecución,CI-656-2021,2021-11-30T00:00:00.000
Oriente,La Ceja,Mejoramiento de Vivienda Urbana,16,En ejecución,CI-614-2021,2021-12-01T00:00:00.000
Oriente,La Ceja,Titulación y/o Legalización,1,Ejecutado,N/A,N/A
Oriente,La Ceja,Vivienda Nueva Urbana,160,En ejecución,CA-605-2021,2021-12-07T00:00:00.000
Oriente,La Ceja,Vivienda Nueva Urbana,248,En ejecución,CI-538-2021,2021-12-01T00:00:00.000
Oriente,La Ceja,Vivienda Nueva Urbana,170,En ejecución,CI-71-2020,2020-06-18T00:00:00.000
Oriente,La Unión,Antioquia se Pinta de Vida,1,Ejecutado,CI-584-2021,2021-12-09T00:00:00.000
Oriente,La Unión,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,La Unión,Intervenciones Urbanas Intregales,1,En ejecución,CI-2021-VIVA-398,2021-07-26T00:00:00.000
Oriente,La Unión,Mejoramiento de Vivienda,75,En ejecución,CI-686-2021,2021-12-07T00:00:00.000
Oriente,La Unión,Mejoramiento de Vivienda,36,SGR - Ejecución,CI-757-2021,2021-12-01T00:00:00.000
Oriente,La Unión,Mejoramiento de Vivienda Rural,6,En ejecución,CA-348-2020,2020-12-31T00:00:00.000
Oriente,La Unión,Mejoramiento de Vivienda Urbana,2,En ejecución,CA-349-2020,2020-12-31T00:00:00.000
Oriente,La Unión,Titulación y/o Legalización,12,Ejecutado,MVCT-0716-2021,2020-10-02T00:00:00.000
Oriente,La Unión,Vivienda Nueva Rural,56,SGR - Viabilización y aprobación,CI-308-2020,2020-12-01T00:00:00.000
Oriente,Marinilla,Antioquia se Pinta de Vida,1,Ejecutado,CI-588-2021,2021-12-09T00:00:00.000
Oriente,Marinilla,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Marinilla,Intervenciones Urbanas Intregales,1,En ejecución,CI-417-2020,2020-12-31T00:00:00.000
Oriente,Marinilla,Mejoramiento de Vivienda,50,SGR - Ejecución,CI-757-2021,2021-12-01T00:00:00.000
Oriente,Marinilla,Mejoramiento de Vivienda,72,En ejecución,CI-691-2021,2021-12-01T00:00:00.000
Oriente,Marinilla,Titulación y/o Legalización,32,Ejecutado,N/A,N/A
Oriente,Marinilla,Vivienda Nueva Rural,10,Ejecutado,CA-154-2020,2020-10-19T00:00:00.000
Oriente,Marinilla,Vivienda Nueva Rural,8,En ejecución,CA-616-2021,2021-12-01T00:00:00.000
Oriente,Marinilla,Vivienda Nueva Urbana,40,En ejecución,CI-399-2020,2020-01-27T00:00:00.000
Oriente,Nariño,Antioquia se Pinta de Vida,1,Ejecutado,CI-413-2021,2021-08-25T00:00:00.000
Oriente,Nariño,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Nariño,Mejoramiento de Vivienda,100,SGR - Ejecución,CI-753-2021,2021-11-11T00:00:00.000
Oriente,Nariño,Mejoramiento de Vivienda Rural,106,En ejecución,CI-572-2021,2021-12-01T00:00:00.000
Oriente,Nariño,Vivienda Nueva Urbana,60,En ejecución,CI-561-2021,2021-12-01T00:00:00.000
Oriente,Rionegro,Antioquia se Pinta de Vida,1,En ejecución,CI-126-2022,2022-07-27T00:00:00.000
Oriente,Rionegro,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Rionegro,Espacio Público Efectivo,"9,632",En ejecución,CI-375-2020,2020-12-31T00:00:00.000
Oriente,Rionegro,Mejoramiento de Vivienda Rural,3,En ejecución,CA-348-2020,2020-12-31T00:00:00.000
Oriente,Rionegro,Mejoramiento de Vivienda Urbana,296,En ejecución,015-2020,2020-10-30T00:00:00.000
Oriente,Rionegro,Titulación y/o Legalización,75,Ejecutado,N/A,N/A
Oriente,Rionegro,Vivienda Nueva Urbana,100,En ejecución,CI-562-2021,2021-12-01T00:00:00.000
Oriente,Rionegro,Vivienda Nueva Urbana,168,En ejecución,CI-548-2021,2021-12-01T00:00:00.000
Oriente,Rionegro,Vivienda Nueva Urbana,180,En ejecución,CI-109-2020,2020-07-14T00:00:00.000
Oriente,Rionegro,Vivienda Nueva Urbana,360,En ejecución,CI-529-2021,2021-12-07T00:00:00.000
Oriente,Rionegro,Vivienda Nueva Urbana,432,En ejecución,CI-539-2021,2021-12-01T00:00:00.000
Oriente,San Carlos,Antioquia se Pinta de Vida,1,En ejecución,CI-107-2022,2022-07-18T00:00:00.000
Oriente,San Carlos,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,San Carlos,Espacio Público Efectivo,"4,400",Ejecutado,CI-389-2021,2021-10-04T00:00:00.000
Oriente,San Carlos,Mejoramiento de Vivienda,50,SGR - Ejecución,CI-759-2021,2021-11-26T00:00:00.000
Oriente,San Carlos,Mejoramiento de Vivienda,155,En ejecución,CI-707-2021,2021-12-01T00:00:00.000
Oriente,San Carlos,Mejoramiento de Vivienda Rural,152,En ejecución,CI-575-2021,2021-12-01T00:00:00.000
Oriente,San Carlos,Titulación y/o Legalización,0,En ejecución,MVCT-1046-2020,2020-09-30T00:00:00.000
Oriente,San Carlos,Vivienda Nueva Rural,10,Ejecutado,CA-156-2020,2020-09-21T00:00:00.000
Oriente,San Carlos,Vivienda Nueva Rural,8,En ejecución,CA-620-2021,2021-12-01T00:00:00.000
Oriente,San Carlos,Vivienda Nueva Urbana,240,En ejecución,CI-406-2020,2020-12-28T00:00:00.000
Oriente,San Carlos,Vivienda Nueva Urbana,120,En ejecución,CI-154-2021,2021-04-30T00:00:00.000
Oriente,San Francisco,Antioquia se Pinta de Vida,1,Ejecutado,CI-451-2021,2021-09-21T00:00:00.000
Oriente,San Francisco,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,San Francisco,Mejoramiento de Vivienda,0,SGR - Ejecución,CI-759-2021,2021-11-26T00:00:00.000
Oriente,San Francisco,Titulación y/o Legalización,0,En ejecución,MVCT-1048-2020,2020-09-30T00:00:00.000
Oriente,San Luis,Antioquia se Pinta de Vida,1,Ejecutado,CI-594-2021,2021-12-09T00:00:00.000
Oriente,San Luis,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,San Luis,Mejoramiento de Vivienda,62,En ejecución,CI-684-2021,2021-12-01T00:00:00.000
Oriente,San Luis,Titulación y/o Legalización,17,Ejecutado,N/A,N/A
Oriente,San Luis,Vivienda Nueva Rural,30,N/A,N/A,N/A
Oriente,San Rafael,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,San Rafael,Mejoramiento de Vivienda Rural,50,SGR - Ejecución,CI-759-2021,2021-11-26T00:00:00.000
Oriente,San Rafael,Mejoramiento de Vivienda Urbana,75,En ejecución,CI-698-2021,2021-12-07T00:00:00.000
Oriente,San Rafael,Titulación y/o Legalización,3,Ejecutado,MVCT-759-2021,2020-10-02T00:00:00.000
Oriente,San Vicente de Ferrer,Antioquia se Pinta de Vida,1,Ejecutado,CI-218-2020,2020-10-07T00:00:00.000
Oriente,San Vicente de Ferrer,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,San Vicente de Ferrer,Mejoramiento de Vivienda,115,En ejecución,CI-671-2021,2021-12-09T00:00:00.000
Oriente,San Vicente de Ferrer,Mejoramiento de Vivienda,80,SGR - Ejecución,CI-757-2021,2021-12-01T00:00:00.000
Oriente,San Vicente de Ferrer,Titulación y/o Legalización,20,Ejecutado,N/A,N/A
Oriente,Sonsón,Antioquia se Pinta de Vida,1,Ejecutado,CI-207-2020,2020-10-07T00:00:00.000
Oriente,Sonsón,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Oriente,Sonsón,Mejoramiento de Vivienda Rural,35,En ejecución,CA-787-2021,2021-12-13T00:00:00.000
Oriente,Sonsón,Mejoramiento de Vivienda Urbana,50,SGR - Ejecución,CI-753-2021,2021-11-11T00:00:00.000
Oriente,Sonsón,Titulación y/o Legalización,17,Ejecutado,N/A,N/A
Oriente,Sonsón,Vivienda Nueva Urbana,2,Ejecutado,CA-362-2020,2021-01-12T00:00:00.000
Oriente,Sonsón,Vivienda Nueva Urbana,1,En ejecución,CA-643-2021,2021-12-01T00:00:00.000
Suroeste,Amagá,Antioquia se Pinta de Vida,1,En ejecución,CI-131-2022,2022-08-01T00:00:00.000
Suroeste,Amagá,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Suroeste,Amagá,Mejoramiento de Vivienda,100,En ejecución,CI-714-2021,2021-12-07T00:00:00.000
Suroeste,Amagá,Mejoramiento de Vivienda,141,SGR - Ejecución,CI-762-2021,2021-11-30T00:00:00.000
Suroeste,Amagá,Mejoramiento de Vivienda Urbana,49,En ejecución,CI-566-2021,2021-12-07T00:00:00.000
Suroeste,Amagá,Titulación y/o Legalización,43,Ejecutado,N/A,N/A
Suroeste,Amagá,Vivienda Nueva Rural,20,N/A,N/A,N/A
Suroeste,Andes,Antioquia se Pinta de Vida,1,Ejecutado,CI-421-2021,2021-08-25T00:00:00.000
Suroeste,Andes,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Suroeste,Andes,Mejoramiento de Vivienda,70,SGR - Ejecución,CI-760-2021,2021-11-26T00:00:00.000
Suroeste,Andes,Mejoramiento de Vivienda Rural,184,En ejecución,CI-675-2021,2021-12-01T00:00:00.000
Suroeste,Andes,Titulación y/o Legalización,11,Ejecutado,MVCT-958-2020,2020-09-28T00:00:00.000
Suroeste,Andes,Vivienda Nueva Urbana,49,En ejecución,CA-642-2021,2021-12-01T00:00:00.000
Suroeste,Angelópolis,Antioquia se Pinta de Vida,1,Ejecutado,CI-215-2021,2021-04-26T00:00:00.000
Suroeste,Angelópolis,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Suroeste,Angelópolis,Mejoramiento de Vivienda Urbana,52,En ejecución,CI-652-2021,2021-12-01T00:00:00.000
Suroeste,Angelópolis,Titulación y/o Legalización,0,En ejecución,MVCT-850-2020,2020-08-25T00:00:00.000
Suroeste,Betania,Antioquia se Pinta de Vida,1,Ejecutado,CI-422-2021,2021-08-03T00:00:00.000
Suroeste,Betania,Capacitación Técnica y Social,1,Ejecutado,N/A,N/A
Suroeste,Betania,Mejoramiento de Vivienda,31,SGR - Ejecución,CI-760-2021,2021-11-26T00:00:00.000
